sep=;
id;active;nPreys;nPreds;simTime;stabilTime;steps;lyapTime;lyapPert;reps;compPars
failed;false;6;-4;1000;1000;3000;100;0.01;3;-1 0.1 0 0.25 1
fast;true;12;8;5000;5000;5000;100;1e-8;3;-1 0.1 0 0.25 1
1-1d;false;1;1;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
2-3d;false;2;3;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
4-6d;false;4;6;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
6-9d;false;6;9;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
8-12d;false;8;12;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
10-15d;false;10;15;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
12-18d;false;12;18;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
14-21d;false;14;21;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
16-24d;false;16;24;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
18-27d;false;18;27;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
20-30d;false;20;30;5000;2000;5000;100;1e-8;200;-1 0.05 0 0.2 2
2-3n;false;2;3;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
4-6n;false;4;6;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
6-9n;false;6;9;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
8-12n;false;8;12;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
10-15n;false;10;15;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
12-18n;false;12;18;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
14-21n;false;14;21;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
16-24n;false;16;24;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
18-27n;false;18;27;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
20-30n;false;20;30;5000;2000;5000;100;1e-8;200;-0.8 0.05 0 0.2 0.8
2-3m;false;2;3;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
4-6m;false;4;6;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
6-9m;false;6;9;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
8-12m;false;8;12;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
10-15m;false;10;15;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
12-18m;false;12;18;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
14-21m;false;14;21;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
16-24m;false;16;24;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
18-27m;false;18;27;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
20-30m;false;20;30;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
2-3p;false;2;3;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9
8-12p;false;8;12;5000;2000;5000;100;1e-8;200;-0.9 0.05 0 0.2 0.9